start;end;duration;event
2022-07-22 15:00:00;2022-07-22 16:00:00;1,0;Apresentação Técnica AI5 Bank
2022-07-22 15:00:00;2022-07-22 16:00:00;1,0;Solutions | Continuous Improvement
2022-07-22 16:00:00;2022-07-22 17:00:00;1,0;Sensedia <>CPFL
2022-07-22 17:00:00;2022-07-22 18:00:00;1,0;Reserva - Genial
2022-07-25 08:45:00;2022-07-25 09:15:00;0,5;Daily | Solutions Team
2022-07-25 09:00:00;2022-07-25 10:00:00;1,0;Review de Closing dates
2022-07-25 10:00:00;2022-07-25 11:00:00;1,0;Conversa | Bem Promotora + Sensedia
2022-07-25 12:00:00;2022-07-25 13:00:00;1,0;Out of office - Lunch Time
2022-07-25 14:00:00;2022-07-25 15:00:00;1,0;Save The Date- Well Being: Emotional Health 
2022-07-25 15:00:00;2022-07-25 15:30:00;0,5;Precificação das Fases Genial
2022-07-25 15:00:00;2022-07-25 16:00:00;1,0;Atualização Deck
2022-07-25 16:00:00;2022-07-25 17:00:00;1,0;Open Banking Demos - Segunda conversa
2022-07-25 17:00:00;2022-07-25 18:00:00;1,0;Reserva - Focus Time
2022-07-26 08:45:00;2022-07-26 09:15:00;0,5;Daily | Solutions Team
2022-07-26 09:00:00;2022-07-26 09:50:00;0,8333333333333334;Sensedia & ProFutura
2022-07-26 10:00:00;2022-07-26 10:45:00;0,75;[GCB Investimentos] Apresentação da Proposta
2022-07-26 10:00:00;2022-07-26 11:00:00;1,0;Talk: Use bem - Bradesco Saúde
2022-07-26 11:00:00;2022-07-26 12:00:00;1,0;[Agi <> Sensedia - Alinhamento PoC]
2022-07-26 11:00:00;2022-07-26 12:00:00;1,0;Flavio / Renan
2022-07-26 12:00:00;2022-07-26 13:00:00;1,0;Out of office - Lunch Time
2022-07-26 12:15:00;2022-07-26 13:15:00;1,0;English Class - Fluentia
2022-07-26 14:00:00;2022-07-26 15:00:00;1,0;Talk: Use bem - Bradesco Saúde
2022-07-26 14:30:00;2022-07-26 15:30:00;1,0;Product Feedback Meeting From Sales/Solutions
2022-07-26 16:00:00;2022-07-26 17:00:00;1,0;Alinhamento projeto Sensedia + Zapptz 
2022-07-26 17:00:00;2022-07-26 18:00:00;1,0;Flavio Nunes / Renan
2022-07-27 08:45:00;2022-07-27 09:15:00;0,5;Daily | Solutions Team
2022-07-27 09:30:00;2022-07-27 10:30:00;1,0;Atualização Deck
2022-07-27 10:30:00;2022-07-27 11:00:00;0,5;CRDC - Entendimento do Momento do Cliente para Oferta de Governance
2022-07-27 11:00:00;2022-07-27 11:45:00;0,75;Open Finance Strat Sync
2022-07-27 11:30:00;2022-07-27 12:30:00;1,0;Reserva - Focus time
2022-07-27 12:00:00;2022-07-27 13:00:00;1,0;Out of office - Lunch Time
2022-07-27 14:00:00;2022-07-27 15:30:00;1,5;Focus Point
2022-07-27 16:00:00;2022-07-27 16:30:00;0,5;Checkpoint Opps
2022-07-27 17:00:00;2022-07-27 18:00:00;1,0;Starr + Sensedia | Proposta Técnica e Comercial
2022-07-28 08:45:00;2022-07-28 09:15:00;0,5;Daily | Solutions Team
2022-07-28 10:30:00;2022-07-28 11:00:00;0,5;Preview Cardif - Escopo Técnico X Comercial
2022-07-28 11:00:00;2022-07-28 12:00:00;1,0;[Open Finance] Tribo - Acompanhamento semanal
2022-07-28 11:00:00;2022-07-28 12:00:00;1,0;OPIN Workshop - Certificação FAPI <reserva>
2022-07-28 12:00:00;2022-07-28 13:00:00;1,0;Out of office - Lunch Time
2022-07-28 12:15:00;2022-07-28 13:15:00;1,0;English Class - Fluentia
2022-07-28 13:30:00;2022-07-28 14:00:00;0,5;rec: OPBR Updates
2022-07-28 14:00:00;2022-07-28 16:00:00;2,0;[Presencial] Alinhamento Solução APIs p/ Espaço Laser - Sensedia
2022-07-28 16:00:00;2022-07-28 16:30:00;0,5;Programa Well Being: Saúde Física - 3ª Funcional online
2022-07-28 16:45:00;2022-07-28 17:45:00;1,0;Reserva - Focus time
2022-07-28 18:00:00;2022-07-28 18:30:00;0,5;Proposta Cardif
2022-07-29 09:00:00;2022-07-29 10:00:00;1,0;WGO Grow and Thrive
2022-07-29 10:00:00;2022-07-29 12:00:00;2,0;BR Sales - Alinhamento Semanal
2022-07-29 10:30:00;2022-07-29 12:00:00;1,5;Solution Tech Meetings
2022-07-29 12:00:00;2022-07-29 12:15:00;0,25;AgiBank - Alinhamento Estratégia para Criação do Ambiente
2022-07-29 12:00:00;2022-07-29 13:00:00;1,0;Out of office - Lunch Time
2022-07-29 13:15:00;2022-07-29 13:45:00;0,5;Apresentação Rest
2022-07-29 14:00:00;2022-07-29 15:00:00;1,0;Reserva - Focus time
2022-07-29 14:00:00;2022-07-29 15:00:00;1,0;[Weekly Técnico] - Demo OB by Flavio
2022-07-29 15:00:00;2022-07-29 16:00:00;1,0;1:1 Review PDI
2022-07-29 16:00:00;2022-07-29 17:00:00;1,0;Austral + Sensedia
2022-07-31 08:00:00;2022-07-31 08:20:00;0,3333333333333333;Updates JIRA - Fechamento Março
Total Houers in Meetings: 189,50000000000003
